id,type,createdAt,post_text,linkedinUrl,author/name,author/linkedinUrl,author/info,repostId,year,month,weekday,hour,clean_text,word_count,character_count
7482979990876110848,post,,"📢 WE ARE HIRING

🏢 Organization: Barbeque Nation

💼 Position: In-House Staff

🎓 Qualification: Minimum 10th Pass

🌍 Location: Pan India

💰 Salary: ₹11,500 – ₹15,000/Month

🎁 Benefits:
🍽️ Free Food
🏠 Accommodation Provided
🚆 Travel Allowance (TA)
✅ Immediate Joining

📝 Job Responsibilities
✔ Restaurant Operations Support
✔ Kitchen & Service Team Assistance
✔ Maintain Hygiene Standards
✔ Customer Service Support

👨‍💼 Freshers & Experienced Candidates Welcome

 📩 How to Apply:
Interested candidates send your CV to *+91 9333892277 / +91 9163066266*
📝 Mention: *SS CAREER SOLUTIONS* 

Regards,
*SS CAREER SOLUTIONS* - Building Careers. Strengthening Businesses.
📧Email: sscareersolutions2@gmail.com - *SS Career Solutions* – Building Careers. Strengthening Businesses.

🚫 NO REGISTRATION FEES
✅ 100% Genuine Job Opportunity                       -                 Male Female both applicable.",https://www.linkedin.com/posts/sumit-nandi-b44464360_we-are-hiring-organization-barbeque-activity-7482979990876110848-luO2,SUMIT NANDI,https://www.linkedin.com/in/sumit-nandi-b44464360?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAFnEt2QBeexAA_dE-1rQ1zSVvoAO_cAAgBw,SS CAREER SOLUTIONS,0.0,,,,,we are hiring organization barbeque nation position inhouse staff qualification minimum th pass location pan india salary month benefits free food accommodation provided travel allowance ta immediate joining job responsibilities restaurant operations support kitchen service team assistance maintain hygiene standards customer service support freshers experienced candidates welcome how to apply interested candidates send your cv to mention ss career solutions regards ss career solutions building careers strengthening businesses email sscareersolutionscom ss career solutions building careers strengthening businesses no registration fees genuine job opportunity male female both applicable,87,693
7487396943632146434,post,,"We're Hiring: Customer Care Executive | Barbeque Nation | Jayanagar
📍 Location: Jayanagar
💼 Job Type: Full-time | On-site
🕒 Hiring: Immediate Joiners Preferred
🎯 Open Positions: 10
About the Role
Barbeque Nation is looking for enthusiastic and customer-focused Customer Care Executives to join our team. If you have excellent communication skills and enjoy interacting with customers, this is a great opportunity to build your career with a leading hospitality brand.
Eligibility
Freshers are welcome to apply
Minimum qualification: 10th Pass
Fluency in English and Hindi is mandatory
Age: 18–30 years
Key Responsibilities
Handle inbound and outbound customer calls professionally.
Convert customer enquiries into confirmed bookings and sales.
Resolve customer queries, concerns, and objections effectively.
Achieve daily targets while maintaining high service quality standards.
Candidate Requirements
Strong communication and persuasion skills.
Sales-oriented, target-driven, and self-motivated.
Willing to work 9-hour rotational shifts (between 8:00 AM and 10:00 PM).
Comfortable working on weekends and public holidays (comp-off provided).
Why Join Barbeque Nation?
Work with one of India's leading hospitality brands.
Supportive and growth-oriented work environment.
Excellent learning and career advancement opportunities.
Experience: 0–5 years
Education: 10th Pass and above
Languages: English & Hindi
📞 To apply or know more, contact:
Snigdha – 9986731408
Apply now and kick-start your career with Barbeque Nation!",https://www.linkedin.com/feed/update/urn:li:groupPost:10398421-7487396942805745664,Snigdha P.,https://www.linkedin.com/in/snigdha-p-bb467aa3?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABX9eTgB2kOodCyY1oJsYQIkzTBFxqxXo88,Management graduate,0.0,,,,,were hiring customer care executive barbeque nation jayanagar location jayanagar job type fulltime onsite hiring immediate joiners preferred open positions about the role barbeque nation is looking for enthusiastic and customerfocused customer care executives to join our team if you have excellent communication skills and enjoy interacting with customers this is a great opportunity to build your career with a leading hospitality brand eligibility freshers are welcome to apply minimum qualification th pass fluency in english and hindi is mandatory age years key responsibilities handle inbound and outbound customer calls professionally convert customer enquiries into confirmed bookings and sales resolve customer queries concerns and objections effectively achieve daily targets while maintaining high service quality standards candidate requirements strong communication and persuasion skills salesoriented targetdriven and selfmotivated willing to work hour rotational shifts between am and pm comfortable working on weekends and public holidays compoff provided why join barbeque nation work with one of indias leading hospitality brands supportive and growthoriented work environment excellent learning and career advancement opportunities experience years education th pass and above languages english hindi to apply or know more contact snigdha apply now and kickstart your career with barbeque nation,194,1414
7484325092622266370,comment,2026-07-18 19:15:54.118000+00:00,"Interested for guwahati location feild recruiter job, 3/4 yrs experience as a recruiter job,8638490423 cl me plz... I will immediately joiners.. plz help me sir/mem..",https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7484325092622266370%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287484325092622266370%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Saturday,19.0,interested for guwahati location feild recruiter job yrs experience as a recruiter job cl me plz i will immediately joiners plz help me sirmem,24,142
7485004725361422336,comment,2026-07-20 16:16:31.190000+00:00,Interested for jharkhand ,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7485004725361422336%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287485004725361422336%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Monday,16.0,interested for jharkhand,3,24
7482362332539678720,comment,2026-07-13 09:16:35.648000+00:00,"Hi Adarsh, we're already supporting large-scale recruitment projects and have a strong presence in the North East through our office in Guwahati. If you require support in hiring frontline or blue-collar talent across the region, we'd be happy to help. Looking forward to connecting!",https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7482362332539678720%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287482362332539678720%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Monday,9.0,hi adarsh were already supporting largescale recruitment projects and have a strong presence in the north east through our office in guwahati if you require support in hiring frontline or bluecollar talent across the region wed be happy to help looking forward to connecting,44,274
7482284262390484992,comment,2026-07-13 04:06:22.274000+00:00,"Interested for guwahati location feild recruiter job in guwahati location,8638490423 ,,4 yrs experience ",https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7482284262390484992%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287482284262390484992%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Monday,4.0,interested for guwahati location feild recruiter job in guwahati location yrs experience,12,88
7486270535916621824,comment,2026-07-24 04:06:23.944000+00:00,Rishikesh Kumar fyi,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7486270535916621824%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287486270535916621824%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Friday,4.0,rishikesh kumar fyi,3,19
7482951352223117312,comment,2026-07-15 00:17:08.883000+00:00,Adarsh Pandey sir I have a similar experience please have a look at my resume already shared on your mail please check,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7482951352223117312%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287482951352223117312%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Wednesday,0.0,adarsh pandey sir i have a similar experience please have a look at my resume already shared on your mail please check,22,118
7481758007538683904,comment,2026-07-11 17:15:13.340000+00:00,We can help you source right candidates in bulk ,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7481758007538683904%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287481758007538683904%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Saturday,17.0,we can help you source right candidates in bulk,9,47
7484261221706174465,comment,2026-07-18 15:02:06.105000+00:00,Interested for Guwahati & WestBengal ,https://www.linkedin.com/feed/update/urn:li:activity:7481700244318113792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7481700244318113792%2C7484261221706174465%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287484261221706174465%2Curn%3Ali%3Aactivity%3A7481700244318113792%29,Unknown,Unknown,Unknown,0.0,2026.0,July,Saturday,15.0,interested for guwahati westbengal,4,34
